zone,potential,org_hour,dst_hour,z
533903665,-0.022687555187076214,6,7,-0.018603070817565234
533903685,-0.24229197323521134,6,7,-0.1986716814330813
533903805,-0.4571307305866412,6,7,-0.3748326024495084
533903845,-0.4818175483017342,6,7,-0.39507500470163853
533903865,-0.24060847033632626,6,7,-0.19729126281189044
533903885,-0.4204894005781057,6,7,-0.3447878818360306
533904805,-0.8779346199746669,6,7,-0.719878355067738
533904825,-0.2770676900936735,6,7,-0.22718665883435238
533904845,-0.4166558153060862,6,7,-0.3416444643231035
533904885,-0.6646985687105484,6,7,-0.5450316018669326
533907845,-0.8616951966153295,6,7,-0.7065625464537596
533912065,-0.3078504010599943,6,7,-0.2524274989046529
533912265,-0.15950844696072863,6,7,-0.13079183324700444
533912465,-0.5614695056715107,6,7,-0.4603870663799157
533912485,-0.6474791595075544,6,7,-0.5309122361530628
533912685,-0.36620762290411335,6,7,-0.3002785574136336
533912865,-0.37592725071252175,6,7,-0.3082483418593017
533912885,-0.31897397869590804,6,7,-0.2615484773793837
533913005,-0.35436215842895535,6,7,-0.29056565478127566
533913025,-0.3745631887212255,6,7,-0.30712985458227293
533913045,-0.2062699648827504,6,7,-0.16913478480203814
533913065,-0.45028812991310474,6,7,-0.36922188838814357
533913085,-0.7153049714891893,6,7,-0.5865272362334581
533913205,-0.4116054952064019,6,7,-0.33750336310302503
533913225,-0.3754953455664918,6,7,-0.3078941934307111
533913245,-0.1120267764770233,6,7,-0.0918583795865662
533913265,-0.5475205143457629,6,7,-0.44894933889774485
533913285,-0.2769054008701062,6,7,-0.22705358685308089
533913405,0.31832821049428617,6,7,0.26101896807406433
533913425,-0.7293637838880898,6,7,-0.5980550134889199
533913445,-0.5987578260494502,6,7,-0.49096229843726924
533913465,-0.6806706303797512,6,7,-0.5581281824321208
533913485,-1.5798788571438536,6,7,-1.2954502157801144
533913605,-0.3463638014816013,6,7,-0.2840072574798092
533913625,-0.8407702436365696,6,7,-0.6894047531654006
533913645,-0.28194977651355657,6,7,-0.23118981380885992
533913665,-0.5926194869730637,6,7,-0.4859290563978055
533913685,0.13847625031826283,6,7,0.11354610357880163
533913805,-0.2961653472726482,6,7,-0.24284612791423055
533913825,-0.18269552804977707,6,7,-0.14980449935383605
533913845,-0.5907731646967136,6,7,-0.48441513108607537
533913865,-0.026283673377008654,6,7,-0.021551772905737173
533913885,-0.06955677912353053,6,7,-0.057034337865275196
533914005,-0.2686394329629138,6,7,-0.22027575710962682
533914025,-0.3809975372455483,6,7,-0.3124058149171731
533914045,-0.2025762076048352,6,7,-0.16610602177943196
533914065,-1.390038104181059,6,7,-1.1397868601516272
533914085,-1.6523215154970785,6,7,-1.3548508824647914
533914205,-0.2466685931613597,6,7,-0.20226037002276612
533914265,-0.46533285907628397,6,7,-0.38155808590902685
533914285,-0.46137376519274653,6,7,-0.3783117553422679
533914405,-1.5611955990365232,6,7,-1.2801305407068169
533914425,-5.844616503907218e-4,6,7,-4.792398908879898e-4
533914445,0.2158893508230051,6,7,0.1770223741166412
533914465,-0.11588658855663425,6,7,-0.09502330224427058
533914485,5.3871838354579324,6,7,4.417318727024193
533914605,-0.12326813657909952,6,7,-0.10107593592264079
533914625,0.043660136328469434,6,7,0.03579991767846982
533914645,0.39671557028859183,6,7,0.3252941001202934
533914665,0.6763735982545995,6,7,0.5546047532979369
533914685,0.9034529330921544,6,7,0.7408025569993697
533914805,0.007687396822404935,6,7,0.006303419928269266
533914825,-0.5477023256437121,6,7,-0.4490984183566506
533914865,0.4896736071643488,6,7,0.4015167221173358
533915005,-1.12036128111464,6,7,-0.9186604762820072
533915025,-0.7220087783306042,6,7,-0.5920241437843061
533915205,1.3448489531647283,6,7,1.1027331992520464
533915225,0.09008006234051891,6,7,0.07386277477469018
533915405,0.9871388054269516,6,7,0.8094223001421119
533915605,4.856933087830441,6,7,3.9825300453948804
533915805,-0.2427367921148118,6,7,-0.1990364187108516
533917025,-0.05665743466173012,6,7,-0.046457287295289744
533917045,0.281622729254309,6,7,0.2309216454992159
533917265,-0.34796617487506865,6,7,-0.28532115249710205
533917285,-0.2706075217602404,6,7,-0.2218895270804335
533922085,-0.411165594929912,6,7,-0.3371426589227496
533922265,-0.3622879545236515,6,7,-0.2970645545005017
533922285,-0.2203611489091486,6,7,-0.18068910575839026
