zone,potential,org_hour,dst_hour,z
533904625,-0.41027924699622176,7,8,-0.14214408836100445
533904645,-0.5187753290188379,7,8,-0.1797333078566412
533904825,-0.9582484916837468,7,8,-0.3319918306151812
533904885,-0.7893987629659998,7,8,-0.2734926719706591
533912885,-0.5424724315236569,7,8,-0.18794333324058607
533913465,-0.580361869696419,7,8,-0.20107039166971374
533913485,-1.3987248945355968,7,8,-0.4845979328889512
533913625,-1.026836082764454,7,8,-0.35575447685776407
533913645,-0.6372341467491132,7,8,-0.22077418618005157
533913665,-0.9527497570304364,7,8,-0.3300867558882573
533913685,-1.214119639693861,7,8,-0.4206401630328242
533913825,-0.5924293267494583,7,8,-0.2052512457933337
533913845,-1.0815916283984401,7,8,-0.3747249150991212
533913865,0.15670349478419343,7,8,0.05429101172472347
533914065,-1.3651398540137236,7,8,-0.47296216285549153
533914085,-0.9627216583344576,7,8,-0.33354159020040824
533914265,-0.3766420157839121,7,8,-0.13049023650116104
533914285,-0.85957566494624,7,8,-0.2978059459883251
533914405,-1.737611620664061,7,8,-0.6020075876444586
533914425,-0.487938123765282,7,8,-0.16904954439441508
533914445,-0.7354529425639453,7,8,-0.2548027686473084
533914485,5.279589754633099,7,8,1.8291504581008748
533914605,-0.506942042177994,7,8,-0.17563358362583817
533914625,-0.05131028888950606,7,8,-0.017776805166569345
533914645,-0.42203510069257066,7,8,-0.14621698534228475
533914665,0.19625873616384526,7,8,0.0679951992189105
533914685,2.4048610887006228,7,8,0.8331807898910145
533914825,-0.5645968656397815,7,8,-0.1956084967626606
533914845,-0.5589656686453248,7,8,-0.19365752953968124
533914885,-0.2726919321965706,7,8,-0.09447600966723849
533915025,-1.104188942684879,7,8,-0.38255391123326526
533915205,3.5591809587319934,7,8,1.2331029083112848
533915605,5.84396092245847,7,8,2.024680760291645
533915805,0.6819016495732004,7,8,0.23624955207968468
533915825,3.175107255309794,7,8,1.1000379121261716
533922085,-0.5676118745422107,7,8,-0.19665306749094816
533922265,-0.566834256330643,7,8,-0.19638365627264875
533922285,-0.5522976086813229,7,8,-0.19134733395543252
533922685,-0.8126989195381524,7,8,-0.28156517268539255
533922885,-0.769878980820248,7,8,-0.2667299081739836
533923025,-0.9868924010356614,7,8,-0.3419157115127219
533923045,-0.7443269503652128,7,8,-0.2578772301470177
533923065,-0.2981869202123937,7,8,-0.10330892494583475
533923245,-0.267257022586199,7,8,-0.09259304756874888
533923265,-0.7098073327582717,7,8,-0.2459176694058079
533923425,-0.5824942864477456,7,8,-0.20180918223087962
533923445,0.2987784449025881,7,8,0.10351386277402445
533923465,-0.7107096267260178,7,8,-0.2462302754038395
533923485,-0.6715615091852012,7,8,-0.2326671387849891
533923605,-0.6868079760044374,7,8,-0.2379493828726765
533923625,-0.864512036969753,7,8,-0.29951618628497717
533923645,-0.927425331124029,7,8,-0.3213129330344652
533923665,-0.9000639226029843,7,8,-0.31183338343752265
533923805,-0.6939070140021748,7,8,-0.24040889378339483
533923825,-0.5614558476581917,7,8,-0.1945202693156537
533923845,-0.8149964535985992,7,8,-0.28236116928256766
533924025,-1.6183914726473305,7,8,-0.5607029411672796
533924045,-0.4552608138319154,7,8,-0.15772826391392525
533924065,-0.3665206126843299,7,8,-0.12698360625588906
533924085,3.45042163073463,7,8,1.1954224854233997
533924205,-0.11841120072396416,7,8,-0.041024381081587576
533924225,-0.5149635056554192,7,8,-0.17841267523641186
533924245,0.741968970791643,7,8,0.2570602917829331
533924285,0.06648835055894065,7,8,0.023035349816059626
533924405,-0.21119200550727912,7,8,-0.07316893387064463
533924425,-0.8963389923140634,7,8,-0.31054285552512295
533924445,0.1345781524656413,7,8,0.04662553354962409
533924465,0.11063621411193347,7,8,0.03833068308911687
533924485,0.35252118543044597,7,8,0.12213340766761424
533924625,0.5392621072636463,7,8,0.18683109415312713
533924645,1.6617162105618668,7,8,0.5757130968586248
533924665,0.07205979851319633,7,8,0.0249656165699999
533924685,0.4475892978480158,7,8,0.155070414037623
533924805,-0.5961730162242316,7,8,-0.2065482729556733
533924825,-0.5912686155622704,7,8,-0.20484910935879266
533924845,0.05885575810993959,7,8,0.020390985268163467
533924865,-0.12180097639581611,7,8,-0.04219879235427899
533924885,0.08240101274510847,7,8,0.028548401905360853
533925005,-0.32362198021376587,7,8,-0.11212107774852281
533925025,-0.08717981019767063,7,8,-0.030204049399913734
533925045,1.1277665115078483,7,8,0.39072252334476376
533925065,0.6187399552217259,7,8,0.21436674536046146
533925205,0.9612172377087638,7,8,0.3330203732489871
533925225,0.020856044459332868,7,8,0.007225721135526383
533925245,2.958937083455979,7,8,1.0251442580260288
533925265,0.8986770720932515,7,8,0.31135289946753825
533925285,1.8676407909337471,7,8,0.6470570947878033
533925405,0.2325287460525396,7,8,0.08056119549636917
533925425,-0.12085476556124908,7,8,-0.04187097105339298
533925445,-0.06621954563430066,7,8,-0.02294222048709737
533925465,1.4074820724551427,7,8,0.4876319178665059
533925485,1.1438901595041004,7,8,0.39630867293010236
533925605,-0.6797146099611528,7,8,-0.23549183704988505
533925625,0.6588718859480336,7,8,0.22827073087526017
533925645,0.611047572352653,7,8,0.2117016660071832
533925665,0.3596968236903373,7,8,0.12461945726999638
533925685,1.0761335972981767,7,8,0.37283394240022644
533925805,-0.5235178296794727,7,8,-0.18137638007609372
533925825,1.8272082581661073,7,8,0.63304896361261
533925845,1.2558725200357892,7,8,0.4351057377751512
533925865,0.41808596099087625,7,8,0.14484877852505626
533925885,1.0092250816747232,7,8,0.3496530234858184
533932065,-0.604280074048682,7,8,-0.20935701932094355
533932085,-0.6478553896196093,7,8,-0.22445398937785113
533932285,-0.8308254598263827,7,8,-0.28784523818535
533933005,-0.7130447950749899,7,8,-0.24703931066108017
533933085,-0.1294717365946383,7,8,-0.04485638038360355
533933445,-0.8664919803081541,7,8,-0.3002021513755928
533933465,-0.2608592464875872,7,8,-0.09037649370273437
533933845,-0.4232282162715013,7,8,-0.14663034850290782
533933865,-0.5235585592917913,7,8,-0.1813904911325381
533934025,0.11519402086379271,7,8,0.039909766823943524
533934045,-1.3693387974369164,7,8,-0.4744169159031753
533934065,-0.08001246547833274,7,8,-0.027720873152130662
533934085,0.4657427602011266,7,8,0.16135980687352852
533934205,-0.10996586001352604,7,8,-0.0380984342661632
533934225,-0.3872055479364205,7,8,-0.13415004542077788
533934245,0.4207407951593489,7,8,0.14576856422075016
533934265,0.05298958064454862,7,8,0.018358607432611997
